=== C_mpich_rccl : N=16 ranks=128 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     101.44             73.87            114.98          50
8                      86.10             60.28             98.84          50
16                     73.29             48.34             85.57          50
32                     73.68             48.37             86.15          50
64                     78.94             51.68             92.06          50
128                   114.63             71.63            132.76          50
256                   117.75             73.81            136.50          50
512                   121.73             76.20            141.19          50
1024                  127.00             79.89            147.49          50
2048                  138.44             87.13            160.60          50
4096                  141.80             92.62            161.64          50
8192                  140.67             92.36            159.62          50
16384                 144.74             95.31            163.92          50
32768                 161.79            155.37            170.39          50
65536                 187.79            181.58            196.67          50
131072                231.66            225.42            239.05          50
262144                318.55            311.70            326.75          50
524288                366.05            359.52            374.58          50
1048576               460.04            452.17            466.30          50
2097152               377.01            362.63            397.64          50
4194304               483.62            458.19            542.08          50
8388608               767.93            689.84            857.08          50
16777216             1029.84            996.06           1059.95          50
33554432             1693.21           1582.01           1778.41          50
67108864             2633.82           2420.24           2746.35          50
134217728            5052.23           4631.35           5966.05          50
268435456            8395.18           8077.98           8956.80          50
536870912           17936.93          17305.69          18628.23          50
1073741824          34709.36          33777.84          35966.86          50
