=== D_cray_gpuaware : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       9.71              9.29             10.10          50
8                       9.59              9.35              9.95          50
16                      9.58              8.87              9.95          50
32                      9.63              9.05             10.04          50
64                      9.69              9.27             10.06          50
128                    10.69             10.14             11.32          50
256                    21.48             20.48             22.54          50
512                    19.71             18.69             20.81          50
1024                   21.61             19.66             24.11          50
2048                   24.22             22.96             25.32          50
4096                   37.83             37.16             38.43          50
8192                   63.86             62.59             65.62          50
16384                  67.96             67.15             68.77          50
32768                  78.74             77.63             80.14          50
65536                 101.08             99.56            102.38          50
131072                171.48            169.94            172.95          50
262144                182.54            181.71            183.99          50
524288                210.40            208.80            211.77          50
1048576               242.91            241.85            243.82          50
2097152               302.84            301.55            303.93          50
4194304               425.31            424.10            426.33          50
8388608               681.27            680.11            682.30          50
16777216             1360.09           1359.20           1360.89          50
33554432             2728.03           2726.50           2728.95          50
67108864             5475.74           5474.09           5478.48          50
134217728           11041.39          11040.06          11042.51          50
268435456           21982.44          21981.27          21983.99          50
536870912           45144.66          45143.62          45145.93          50
1073741824          89803.92          89802.96          89804.79          50
