=== D_blk128 sweep : N=8 ranks=64 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      14.10             13.76             14.61          10
8                      13.69             12.64             14.84          10
16                     14.05             13.02             14.75          10
32                     13.72             12.78             14.68          10
64                     13.96             13.37             14.37          10
128                    15.57             13.92             16.38          10
256                    30.08             27.37             32.91          10
512                    32.78             31.61             34.65          10
1024                   29.77             26.58             34.14          10
2048                   37.42             31.36             42.15          10
4096                   52.13             49.64             54.37          10
8192                   79.48             77.85             81.78          10
16384                  88.62             86.74             90.75          10
32768                  93.64             91.61             96.20          10
65536                 114.96            112.60            117.81          10
131072                220.40            217.57            224.16          10
262144                231.27            228.57            234.40          10
524288                273.17            269.05            278.40          10
1048576               293.62            289.42            298.30          10
2097152               362.77            359.20            365.80          10
4194304               480.31            477.72            483.13          10
8388608               742.32            740.24            743.93          10
16777216             1314.86           1308.94           1321.42          10
33554432             2435.11           2427.44           2443.87          10
67108864             4746.99           4739.08           4755.13          10
134217728            9496.63           9471.14           9521.59          10
268435456           19072.32          19038.31          19111.63          10
536870912           38288.50          38242.10          38330.78          10
1073741824          76379.44          76333.59          76425.08          10
2147483648         152956.95         152908.01         153006.11          10
4294967296         306526.17         306492.02         306562.86          10
