=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  613.91            598.41            638.35          30
2048                  614.83            595.54            642.37          30
4096                  620.78            605.91            644.26          30
8192                  615.33            596.38            643.83          30
16384                 625.47            606.83            655.28          30
32768                 633.66            614.27            663.91          30
65536                 640.77            620.44            670.58          30
131072                617.44            604.54            633.10          30
262144                681.96            671.31            698.53          30
524288                839.61            825.14            851.15          30
1048576              1022.96           1009.76           1035.48          30
2097152              1389.85           1374.34           1405.46          30
4194304              1928.76           1916.95           1944.18          30
8388608              3133.44           3118.78           3143.97          30
16777216             9186.22           9147.08           9239.11          30
33554432            33471.33          33291.41          33649.61          30
67108864            70943.02          70588.79          71374.04          30
134217728          143323.28         142299.33         144465.39          30
268435456          277610.88         275945.87         280252.87          30
