=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  150.07            101.58            172.55          30
2048                  157.32            104.66            181.19          30
4096                  147.24             96.37            167.98          30
8192                  146.54             98.10            166.86          30
16384                 147.72             99.06            166.82          30
32768                 163.23            156.02            170.41          30
65536                 187.68            179.06            194.61          30
131072                233.83            225.12            240.94          30
262144                320.92            312.35            328.26          30
524288                370.63            359.84            379.36          30
1048576               471.63            456.65            484.90          30
2097152               378.26            360.39            397.10          30
4194304               472.35            448.87            501.25          30
8388608               817.42            758.01            896.47          30
16777216             1205.32           1148.31           1291.98          30
33554432             2098.14           1982.12           2219.01          30
67108864             2874.40           2643.47           3056.00          30
134217728            5057.92           4893.37           5135.35          30
268435456            7432.07           7193.87           7882.84          30
