=== A_mpich_host : N=256 ranks=2048 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      71.72             60.27             95.17          50
8                      65.50             59.35             71.91          50
16                     66.07             60.11             72.07          50
32                     66.38             60.61             72.63          50
64                     66.19             60.34             72.15          50
128                    68.64             62.80             74.61          50
256                    89.11             84.09             94.55          50
512                    97.61             87.58            118.16          50
1024                   91.17             85.96             96.74          50
2048                   94.54             89.38            100.91          50
4096                   99.39             93.30            105.40          50
8192                  141.29            134.30            169.39          50
16384                 157.13            150.03            164.76          50
32768                 177.34            169.49            185.16          50
65536                 212.37            204.98            221.04          50
131072                258.47            248.42            269.22          50
262144                351.34            328.86            367.02          50
524288                544.93            493.80            581.39          50
1048576               977.83            870.73           1056.19          50
2097152              1860.35           1639.02           2057.36          50
4194304              3642.58           3211.68           4068.50          50
8388608              7049.01           6516.31           7578.53          50
16777216            13305.67          12906.71          14075.96          50
33554432            36708.94          35857.70          38105.55          50
