=== A_mpich_host : N=512 ranks=4096 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      71.47             64.28             76.91          50
8                      71.35             64.01             77.14          50
16                     71.58             64.09             77.35          50
32                     71.52             64.51             77.08          50
64                     71.90             63.74             77.80          50
128                    75.09             67.13             81.42          50
256                    97.60             89.61            110.89          50
512                    98.24             90.89            112.13          50
1024                  100.04             91.55            113.97          50
2048                  103.64             95.51            118.63          50
4096                  109.19            100.94            125.72          50
8192                  128.99            119.96            152.22          50
16384                 173.87            164.91            189.93          50
32768                 218.83            209.34            241.35          50
65536                 238.31            227.46            263.40          50
131072                297.68            281.22            329.80          50
262144                495.27            461.99            537.51          50
524288                625.45            558.42            692.92          50
1048576              1549.41           1439.47           1707.35          50
2097152              3139.23           2896.65           3340.30          50
4194304              5740.52           5269.57           6201.27          50
8388608              9524.14           9000.17          10010.38          50
16777216            14499.07          14110.78          15063.89          50
33554432            43877.22          42941.87          45317.13          50
