=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     124.36             85.66            139.12          30
16                    118.66             82.16            133.10          30
32                    111.06             73.81            125.08          30
64                    110.18             69.61            125.86          30
128                   165.53            100.55            185.66          30
256                   169.13            102.63            189.59          30
512                   174.69            105.68            196.26          30
1024                  182.81            110.59            205.77          30
2048                  200.02            121.21            223.46          30
4096                  202.71            126.12            225.06          30
8192                  205.16            129.17            227.68          30
16384                 205.73            129.18            226.10          30
32768                 223.73            211.95            233.08          30
65536                 260.72            247.89            267.26          30
131072                328.63            317.40            335.82          30
262144                457.04            443.76            466.21          30
524288                508.76            496.10            519.17          30
1048576               612.19            598.79            620.80          30
2097152               567.13            535.84            586.31          30
4194304               912.03            863.23            990.70          30
8388608              1441.02           1370.69           1593.32          30
16777216             1997.89           1923.32           2127.28          30
33554432             3201.38           3051.01           3338.37          30
67108864             4762.09           4563.47           4912.77          30
134217728            5262.71           4868.87           5695.71          30
268435456           11548.91          10755.77          12223.85          30
