=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     387.22            345.03            463.22          30
16                    385.10            340.54            462.37          30
32                    386.32            340.26            459.64          30
64                    382.99            341.04            457.90          30
128                   382.45            342.67            463.26          30
256                   394.63            359.89            476.89          30
512                   402.78            359.16            475.01          30
1024                  400.08            366.81            443.57          30
2048                  739.09            725.26            755.37          30
4096                  749.84            736.22            764.31          30
8192                  750.31            735.95            763.83          30
16384                 756.95            741.00            772.26          30
32768                 758.50            740.87            774.60          30
65536                 765.45            747.24            781.08          30
131072                778.45            760.67            793.34          30
262144                849.31            836.16            862.09          30
524288               1038.25           1022.64           1054.79          30
1048576              1275.62           1261.58           1290.26          30
2097152              1645.46           1631.96           1658.66          30
4194304              2347.22           2334.84           2359.94          30
8388608              3519.21           3504.97           3541.23          30
16777216            10045.47           9955.58          10174.34          30
33554432            34664.80          34432.89          34920.48          30
67108864            74774.13          74252.42          75542.51          30
134217728          146519.15         145713.61         147750.55          30
268435456          283959.33         281268.82         286486.92          30
