=== A_mpich_host : N=1024 ranks=8192 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      76.25             68.95             83.82          50
8                      76.84             67.97             85.29          50
16                     76.80             67.83             85.85          50
32                     76.75             69.47             84.19          50
64                     76.86             69.99             84.50          50
128                    81.35             72.94             91.27          50
256                   105.73             95.29            120.93          50
512                   109.00             98.97            122.34          50
1024                  109.02             98.24            124.04          50
2048                  112.92            102.48            128.99          50
4096                  118.92            108.03            136.29          50
8192                  139.95            128.38            163.24          50
16384                 195.98            155.54            432.65          50
32768                 407.76            388.10            508.30          50
65536                 793.26            776.74            899.55          50
131072                896.70            871.25            997.49          50
262144               2215.76           2175.91           2317.75          50
524288               3095.56           3026.59           3191.22          50
1048576              3799.89           3661.57           3996.84          50
2097152              5108.43           4818.48           5346.10          50
4194304              7576.23           7085.16           7938.26          50
8388608             11007.59          10466.09          11643.25          50
16777216            14939.35          14476.05          15659.90          50
33554432            45410.27          44079.23          46756.30          50
