=== C_mpich_rccl : N=1024 ranks=8192 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     165.99            111.73            181.97          50
8                     159.50            105.53            174.84          50
16                    214.79            143.65            234.19          50
32                    149.13             96.09            163.92          50
64                    163.53            103.99            179.47          50
128                   247.79            149.37            276.72          50
256                   254.73            153.97            284.26          50
512                   261.78            157.14            292.18          50
1024                  274.33            164.61            306.67          50
2048                  303.96            181.82            337.23          50
4096                  309.98            190.08            343.36          50
8192                  306.04            188.42            334.78          50
16384                 310.70            191.87            340.11          50
32768                 327.85            306.24            349.51          50
65536                 385.66            367.39            409.18          50
131072                505.89            487.01            526.42          50
262144                815.39            786.18            836.55          50
524288                779.11            754.71            803.89          50
1048576               928.26            900.52            951.66          50
2097152              1379.30           1312.90           1409.28          50
4194304              2798.39           2673.99           2844.34          50
8388608              3272.18           3133.40           3347.11          50
16777216             4143.62           3971.41           4286.91          50
33554432             6856.18           6681.14           7011.37          50
67108864             8803.39           8475.30           9144.16          50
134217728           14997.81          14398.08          15622.74          50
268435456           18399.51          17732.11          18848.37          50
536870912           32507.20          31323.12          32952.23          50
1073741824          44843.57          43784.63          45347.32          50
