=== D_kernel0 sweep : N=1024 ranks=8192 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      52.45             47.13             83.41          20
8                      52.20             47.54             55.94          20
16                     52.33             48.06             56.41          20
32                     52.49             46.84             57.28          20
64                     52.61             46.55             57.81          20
128                    56.19             53.12             59.15          20
256                    87.82             83.35             92.80          20
512                    86.95             83.55             90.85          20
1024                   89.10             84.77             95.43          20
2048                   96.81             89.52            102.91          20
4096                   97.28             93.92            101.73          20
8192                  142.13            136.78            151.83          20
16384                 163.68            158.30            173.87          20
32768                 196.43            191.21            206.07          20
65536                 231.97            223.14            243.65          20
131072                296.05            286.17            307.25          20
262144                415.29            399.00            433.00          20
524288                661.38            626.81            697.59          20
1048576               999.60            953.41           1031.64          20
2097152              1983.07           1926.83           2017.35          20
4194304              4438.50           4381.67           4468.98          20
8388608             27834.26          27745.53          28057.91          20
16777216            40320.69          40265.44          40468.39          20
33554432            31562.55          31505.85          31594.40          20
67108864            62039.69          61982.34          62070.51          20
134217728          123148.90         123097.27         123182.22          20
268435456          246846.91         246792.37         246875.59          20
536870912          492057.92         492005.28         492088.80          20
1073741824         986753.01         986697.32         986784.51          20
2147483648        1951337.53        1951285.06        1951362.45          20
4294967296        3907848.96        3907800.62        3907889.40          20
