=== D_blk64 sweep : N=512 ranks=4096 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      48.05             43.74             77.01          20
8                      49.94             46.61             53.37          20
16                     48.06             44.97             51.00          20
32                     47.97             44.21             51.10          20
64                     48.29             44.45             51.31          20
128                    52.17             47.70             56.28          20
256                    83.27             78.56             88.70          20
512                    83.08             77.56             87.79          20
1024                   84.30             79.09             90.38          20
2048                   91.43             84.67             96.87          20
4096                   92.23             87.72             97.98          20
8192                  135.75            130.03            147.86          20
16384                 168.25            161.75            177.15          20
32768                 182.44            175.94            191.86          20
65536                 221.11            213.73            231.68          20
131072                417.92            411.90            426.55          20
262144                434.40            428.13            443.44          20
524288                472.60            465.81            485.17          20
1048576               510.93            500.99            523.62          20
2097152               589.59            579.47            604.29          20
4194304               732.85            722.22            750.38          20
8388608              1028.06           1016.23           1047.53          20
16777216             1642.26           1622.70           1673.67          20
33554432             2871.21           2847.56           2909.20          20
67108864             5422.00           5389.38           5488.42          20
134217728           10846.66          10816.64          10925.33          20
268435456           23113.48          23076.18          23268.14          20
536870912           60522.11          60451.99          60727.81          20
1073741824          91562.13          91533.48          91623.66          20
2147483648         278089.84         278040.46         278184.40          20
4294967296         349553.92         349526.19         349609.32          20

MPICH Slingshot Network Summary: 18 network timeouts

