=== D_cray_gpuaware : N=8 ranks=64 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      13.13             12.78             13.47          50
8                      13.07             12.77             13.45          50
16                     13.04             12.59             13.57          50
32                     13.00             12.64             13.45          50
64                     13.20             12.69             13.71          50
128                    14.33             13.80             15.01          50
256                    25.99             24.80             27.42          50
512                    24.63             23.38             26.41          50
1024                   25.60             23.66             27.99          50
2048                   29.75             28.31             30.95          50
4096                   43.99             42.97             45.28          50
8192                   72.36             70.81             73.98          50
16384                  77.98             76.65             79.68          50
32768                  89.25             87.34             91.55          50
65536                 111.48            109.89            113.41          50
131072                198.96            197.51            200.55          50
262144                211.83            209.72            214.05          50
524288                239.98            238.48            242.04          50
1048576               276.14            273.88            278.25          50
2097152               344.60            342.18            347.15          50
4194304               473.37            471.12            476.16          50
8388608               741.17            738.62            744.10          50
16777216             1483.61           1481.13           1486.17          50
33554432             2965.69           2963.82           2967.60          50
67108864             5985.96           5983.88           5988.52          50
134217728           12223.39          12215.57          12234.37          50
268435456           24853.49          24851.00          24857.37          50
536870912           52876.73          52874.04          52880.58          50
1073741824          99134.43          99043.34          99228.71          50
