=== mpir_smp_hmem ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     128.58            125.59            131.72         100
16                    129.05            126.05            132.26         100
32                    128.75            125.75            131.89         100
64                    125.17            122.15            128.25         100
128                   125.75            122.82            128.76         100
256                   125.49            122.58            128.48         100
512                   126.59            123.58            129.71         100
1024                  127.33            124.26            130.40         100
2048                  130.14            127.10            133.14         100
4096                  219.79            216.71            222.57         100
8192                  224.00            220.76            226.74         100
16384                 298.66            294.72            302.51         100
32768                 316.21            312.60            319.79         100
65536                 328.03            323.08            333.26         100
