=== mpir_recursive_doubling ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     123.53            120.91            126.65         100
16                    121.66            118.41            125.24         100
32                    121.72            118.92            125.02         100
64                    121.13            118.00            124.84         100
128                   121.87            118.63            125.36         100
256                   122.34            119.40            125.54         100
512                   123.93            121.05            126.87         100
1024                  124.01            120.73            127.31         100
2048                  129.01            126.96            131.62         100
4096                  134.11            132.16            136.90         100
8192                  142.46            139.90            145.45         100
16384                 149.22            146.53            151.73         100
32768                 149.20            145.81            151.49         100
65536                 168.50            165.75            170.82         100
