=== mpir_recexch_hmem ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     125.37            116.48            135.72         100
16                    123.28            114.71            133.04         100
32                    123.16            114.62            133.01         100
64                    123.40            114.36            133.84         100
128                   124.00            115.09            134.39         100
256                   123.87            115.01            134.11         100
512                   125.15            115.61            135.93         100
1024                  126.54            116.74            138.41         100
2048                  129.67            119.64            142.15         100
4096                  134.45            124.22            147.06         100
8192                  142.77            133.96            152.89         100
16384                 149.61            140.49            160.53         100
32768                 149.32            139.39            161.16         100
65536                 168.29            156.57            181.07         100
