=== rccl ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      55.81             53.97             58.43         100
16                     40.78             38.15             43.56         100
32                     40.70             38.08             43.52         100
64                     40.83             38.11             43.63         100
128                    40.91             38.22             43.67         100
256                    41.41             38.74             44.08         100
512                    41.77             39.16             44.30         100
1024                   42.53             40.12             44.84         100
2048                   43.45             41.09             45.54         100
4096                   45.25             42.61             48.36         100
8192                   50.17             46.84             54.05         100
16384                  56.42             54.46             59.47         100
32768                  55.63             53.51             57.97         100
65536                  55.39             53.19             57.55         100
