=== mpir_reduce_scatter_allgather ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     117.73            110.87            124.25         100
16                    115.77            108.99            122.09         100
32                    194.81            192.63            196.44         100
64                    194.26            192.15            195.79         100
128                   194.35            191.89            196.48         100
256                   194.92            192.82            196.65         100
512                   195.34            193.25            197.10         100
1024                  196.77            194.62            198.76         100
2048                  196.74            194.54            198.89         100
4096                  201.49            199.36            203.31         100
8192                  210.77            208.62            212.46         100
16384                 217.55            215.30            220.28         100
32768                 220.00            217.56            221.92         100
65536                 222.36            219.51            224.66         100
