=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     392.15            343.63            460.26          30
16                    388.10            340.31            452.96          30
32                    379.71            335.59            451.23          30
64                    377.67            336.11            450.85          30
128                   376.98            340.05            460.53          30
256                   390.65            361.30            419.93          30
512                   398.67            364.13            442.68          30
1024                  397.48            363.21            443.97          30
2048                  729.80            712.95            748.16          30
4096                  736.25            719.42            752.56          30
8192                  740.13            722.86            757.48          30
16384                 744.93            729.80            760.49          30
32768                 753.15            738.50            769.14          30
65536                 760.82            745.23            779.17          30
131072                773.72            759.18            786.65          30
262144                843.74            831.24            858.06          30
524288               1050.66           1036.03           1064.18          30
1048576              1287.60           1270.81           1302.26          30
2097152              1631.34           1614.29           1650.43          30
4194304              2287.30           2264.43           2321.86          30
8388608              3544.40           3513.22           3595.66          30
16777216             9886.65           9784.93          10086.26          30
33554432            34055.30          33766.74          34366.32          30
67108864            72557.10          72093.16          73046.77          30
134217728          142698.88         141999.06         143724.95          30
268435456          277992.34         275874.19         280491.87          30
