=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     120.55             82.82            135.86          30
16                    115.25             78.34            130.51          30
32                    105.84             68.68            120.89          30
64                    106.47             65.65            122.25          30
128                   161.07             95.61            183.16          30
256                   164.77             98.18            187.66          30
512                   170.06            100.29            194.87          30
1024                  177.79            105.42            202.43          30
2048                  194.41            115.25            221.82          30
4096                  200.69            124.04            224.74          30
8192                  198.53            122.25            222.89          30
16384                 202.39            126.21            225.37          30
32768                 221.94            209.23            233.48          30
65536                 259.61            247.05            269.56          30
131072                326.35            313.58            336.08          30
262144                456.62            443.90            469.20          30
524288                508.88            494.85            522.62          30
1048576               613.48            598.50            625.94          30
2097152               495.57            471.14            522.52          30
4194304               694.31            653.72            729.78          30
8388608              1160.85           1062.46           1377.15          30
16777216             1552.71           1486.58           1645.01          30
33554432             2653.96           2540.29           2795.90          30
67108864             5393.49           5207.34           5492.17          30
134217728            5337.46           4979.34           6702.96          30
268435456           10254.61           9686.07          10797.94          30
