=== A_mpich_host : N=2 ranks=16 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      22.58             18.64             26.42          50
8                      22.36             18.39             26.08          50
16                     22.13             17.92             25.95          50
32                     21.75             17.91             25.44          50
64                     38.26             35.45             41.07          50
128                    38.42             35.50             41.37          50
256                    38.61             35.59             41.66          50
512                    37.84             35.07             40.71          50
1024                   37.49             34.80             40.25          50
2048                   39.63             37.03             42.23          50
4096                   42.22             39.45             45.03          50
8192                   43.97             41.12             46.79          50
16384                  53.27             50.40             56.68          50
32768                  64.16             61.67             66.56          50
65536                  90.06             84.79             94.08          50
131072                130.57            124.05            138.57          50
262144                219.60            208.60            229.14          50
524288                376.16            355.13            397.31          50
1048576               777.47            696.99            839.72          50
2097152              1434.65           1268.67           1547.00          50
4194304              2954.77           2594.17           3208.06          50
8388608              5579.16           5119.25           5937.28          50
16777216            10346.22          10002.77          10597.21          50
33554432            32889.62          32272.73          33681.00          50
