=== AUTO_hmem (stock tree + FI_HMEM GPU-direct RDMA) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     286.53            258.64            342.80          30
16                    283.99            258.73            337.67          30
32                    283.74            257.46            338.53          30
64                    283.35            256.85            329.02          30
128                   287.66            265.45            324.59          30
256                   365.20            339.10            398.00          30
512                   369.94            342.63            407.15          30
1024                  372.12            343.90            407.81          30
2048                  497.62            486.18            511.66          30
4096                  520.45            508.67            535.40          30
8192                  545.45            534.88            559.03          30
16384                 574.44            562.01            590.95          30
32768                 604.31            593.47            618.20          30
65536                 631.51            620.24            649.97          30
131072                869.84            808.63            939.10          30
262144               1132.70           1044.39           1213.85          30
524288               1329.94           1265.95           1411.72          30
1048576              1505.59           1454.54           1559.24          30
2097152              1824.20           1785.23           1876.45          30
4194304              2192.02           2154.18           2250.44          30
8388608              3068.44           3049.17           3094.84          30
16777216             8783.16           8755.29           8817.62          30
33554432            29224.34          29039.12          29378.56          30
67108864            61768.00          61474.40          62035.70          30
134217728          123639.09         123071.13         124288.33          30
268435456          229398.37         228309.72         230757.37          30
