=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     123.37             87.11            139.17          30
16                    118.49             83.30            134.10          30
32                    109.33             73.45            124.71          30
64                    109.83             70.77            126.07          30
128                   164.05            100.06            185.51          30
256                   167.90            102.03            190.44          30
512                   173.00            105.34            196.64          30
1024                  180.24            109.43            205.13          30
2048                  197.50            119.50            224.20          30
4096                  205.01            130.93            228.52          30
8192                  201.90            126.31            228.20          30
16384                 204.22            129.65            226.80          30
32768                 225.20            214.19            237.96          30
65536                 260.42            249.85            269.58          30
131072                326.62            315.67            336.13          30
262144                455.45            445.45            466.37          30
524288                507.02            497.17            517.52          30
1048576               610.55            598.42            621.48          30
2097152               492.71            469.58            515.35          30
4194304               755.26            720.40            837.36          30
8388608              1365.58           1297.46           1440.14          30
16777216             2131.42           2054.58           2265.90          30
33554432             3575.35           3371.79           3741.42          30
67108864             6075.51           5754.70           6346.47          30
134217728            5506.56           5153.02           5813.96          30
268435456           11620.98          11092.21          11856.30          30
