=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     391.22            353.25            461.88          30
16                    387.18            351.13            455.38          30
32                    384.14            346.91            456.21          30
64                    384.36            350.15            452.63          30
128                   377.56            341.61            451.11          30
256                   393.00            357.23            477.24          30
512                   400.15            360.99            473.28          30
1024                  400.79            368.30            449.38          30
2048                  733.65            714.43            750.52          30
4096                  738.29            723.40            754.88          30
8192                  741.05            724.91            754.89          30
16384                 748.00            732.22            763.04          30
32768                 756.02            743.09            768.79          30
65536                 761.44            748.29            773.80          30
131072                774.27            760.67            786.93          30
262144                848.98            833.98            863.32          30
524288               1047.55           1034.22           1066.84          30
1048576              1254.31           1239.78           1266.80          30
2097152              1606.45           1589.88           1625.15          30
4194304              2215.77           2192.02           2254.18          30
8388608              3580.21           3556.08           3635.98          30
16777216            10079.72           9962.28          10243.26          30
33554432            34479.42          34219.14          34751.36          30
67108864            74317.50          73929.52          74821.48          30
134217728          146089.55         145296.94         147005.42          30
268435456          283915.68         281376.76         286311.00          30
