=== D_cray_gpuaware : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      13.14             12.59             13.51          50
8                      13.10             11.97             14.30          50
16                     12.91             11.88             14.01          50
32                     13.06             12.57             13.67          50
64                     12.99             12.59             13.54          50
128                    14.00             13.60             14.35          50
256                    26.97             26.03             27.82          50
512                    26.00             24.93             27.17          50
1024                   27.39             25.76             30.11          50
2048                   30.02             28.69             31.03          50
4096                   47.21             46.28             48.25          50
8192                   76.93             76.17             77.89          50
16384                  80.92             79.78             82.00          50
32768                  95.61             92.03             98.83          50
65536                 113.57            111.81            115.04          50
131072                188.24            186.12            189.76          50
262144                200.00            198.94            201.21          50
524288                231.57            230.08            232.59          50
1048576               270.64            269.55            271.65          50
2097152               329.35            328.34            330.21          50
4194304               452.20            451.01            454.01          50
8388608               706.97            705.58            709.00          50
16777216             1414.85           1412.72           1417.82          50
33554432             2835.99           2833.59           2839.37          50
67108864             5705.07           5702.64           5710.65          50
134217728           11476.80          11475.29          11480.20          50
268435456           22931.53          22929.08          22936.11          50
536870912           47521.67          47500.65          47544.37          50
1073741824          93074.47          93072.55          93077.93          50
