=== A_mpich_host : N=128 ranks=1024 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      65.59             53.59             90.47          50
8                      59.80             53.17             67.14          50
16                     59.75             54.37             66.06          50
32                     59.66             53.69             66.33          50
64                     60.43             54.63             67.03          50
128                    62.16             55.31             69.48          50
256                    80.80             76.16             87.32          50
512                    81.19             76.62             89.09          50
1024                   82.66             77.80             89.63          50
2048                   85.39             81.19             91.92          50
4096                  121.29            116.78            128.65          50
8192                  128.46            123.32            134.67          50
16384                 143.16            138.37            150.33          50
32768                 164.01            159.22            170.06          50
65536                 196.02            189.14            204.90          50
131072                245.19            235.93            253.91          50
262144                334.80            308.32            348.78          50
524288                522.94            471.24            551.67          50
1048576               945.25            849.27           1028.70          50
2097152              1748.70           1531.67           1953.63          50
4194304              3637.22           3227.90           4072.31          50
8388608              6830.82           6314.39           7385.38          50
16777216            11455.31          11020.73          12043.45          50
33554432            35266.39          34172.33          36498.57          50
