=== C_mpich_rccl : N=256 ranks=2048 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     144.06             99.61            158.06          50
8                     135.53             92.18            149.56          50
16                    122.72             80.18            136.10          50
32                    121.56             78.56            135.42          50
64                    134.21             85.74            149.21          50
128                   206.33            126.53            231.16          50
256                   211.73            129.93            236.56          50
512                   218.76            134.39            244.74          50
1024                  230.22            140.66            257.10          50
2048                  254.17            155.37            282.68          50
4096                  256.57            161.39            283.76          50
8192                  255.05            160.19            281.99          50
16384                 256.79            160.92            282.82          50
32768                 274.39            254.04            291.14          50
65536                 323.40            303.82            338.87          50
131072                421.38            403.08            435.15          50
262144                588.94            570.26            608.16          50
524288                645.44            624.48            665.06          50
1048576               782.61            764.39            799.77          50
2097152               751.05            712.28            785.08          50
4194304              1218.94           1140.39           1306.05          50
8388608              2347.35           2239.98           2436.40          50
16777216             3680.48           3537.34           3834.66          50
33554432             5663.10           5477.30           5777.33          50
67108864             7645.44           7316.12           8117.91          50
134217728            9754.96           9172.73          10081.16          50
268435456           15699.71          14824.38          15979.08          50
536870912           23154.81          22132.12          23586.59          50
1073741824          37996.96          36020.17          38912.10          50
