=== D_cray_gpuaware : N=32 ranks=256 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      28.88             26.64             30.91          50
8                      28.94             26.90             30.89          50
16                     29.01             26.28             31.53          50
32                     28.72             26.64             30.79          50
64                     28.96             27.21             30.62          50
128                    30.49             28.05             32.78          50
256                    50.38             46.93             52.78          50
512                    49.37             46.65             51.21          50
1024                   51.31             47.55             54.59          50
2048                   54.54             50.92             56.43          50
4096                   77.37             72.94             80.83          50
8192                  108.92            104.42            112.29          50
16384                 119.71            115.49            123.81          50
32768                 134.56            129.36            138.39          50
65536                 169.08            164.96            175.81          50
131072                287.17            282.52            290.53          50
262144                299.97            294.46            304.62          50
524288                332.10            324.05            338.72          50
1048576               375.70            369.23            380.93          50
2097152               453.91            446.11            459.75          50
4194304               596.82            590.87            602.66          50
8388608               886.47            877.59            892.02          50
16777216             1800.05           1789.47           1804.91          50
33554432             3662.21           3650.69           3670.04          50
67108864             7356.03           7347.33           7360.99          50
134217728           18055.74          18046.88          18059.80          50
268435456           31901.93          31893.22          31907.31          50
536870912           64443.91          64435.22          64448.96          50
1073741824         120509.96         120500.41         120515.35          50
