=== mpir_recexch ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     161.25            155.92            167.23         100
16                    158.97            154.26            166.36         100
32                    159.23            154.36            166.98         100
64                    159.20            154.90            165.94         100
128                   159.65            154.08            166.04         100
256                   164.29            159.98            170.68         100
512                   165.26            160.73            170.65         100
1024                  166.02            161.46            172.29         100
2048                  169.43            164.65            174.50         100
4096                  176.54            172.34            181.77         100
8192                  189.02            184.44            194.66         100
16384                 200.99            195.80            210.74         100
32768                 208.28            202.53            216.59         100
65536                 231.63            226.31            242.06         100
