=== mpir_recursive_doubling_hmem ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     149.43            137.48            162.65         100
16                    147.54            135.19            160.41         100
32                    147.33            135.13            160.37         100
64                    148.13            135.74            161.22         100
128                   148.40            136.46            161.44         100
256                   163.00            150.82            177.49         100
512                   167.98            151.85            191.77         100
1024                  165.54            152.91            180.39         100
2048                  170.85            156.90            188.89         100
4096                  175.66            162.66            191.86         100
8192                  189.28            176.00            207.80         100
16384                 196.00            183.21            213.34         100
32768                 198.03            183.38            216.08         100
65536                 235.02            219.60            253.75         100
