=== mpir_smp ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     167.13            158.42            175.77         100
16                    197.99            191.31            204.65         100
32                    198.00            191.10            204.97         100
64                    194.46            187.90            200.22         100
128                   194.58            188.16            200.14         100
256                   196.13            189.77            201.50         100
512                   202.65            195.39            208.79         100
1024                  203.14            196.53            208.86         100
2048                  207.44            199.70            214.06         100
4096                  300.56            293.96            306.81         100
8192                  308.59            301.47            315.00         100
16384                 416.40            401.92            430.50         100
32768                 436.95            422.34            449.52         100
65536                 453.34            433.01            470.55         100
