=== mpir_tree ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     353.38            336.07            373.95         100
16                    348.20            330.60            368.01         100
32                    345.65            328.32            365.27         100
64                    346.29            328.77            365.85         100
128                   347.88            329.87            367.16         100
256                   369.45            351.55            388.95         100
512                   377.43            359.55            396.78         100
1024                  377.83            359.55            397.18         100
2048                  391.15            373.22            411.34         100
4096                  405.27            386.77            425.30         100
8192                  432.50            413.51            452.11         100
16384                 456.27            436.08            474.42         100
32768                 459.29            439.67            474.45         100
65536                 515.92            495.26            529.73         100
