=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     123.57             87.09            137.78          30
16                    115.76             80.84            129.31          30
32                    106.30             71.41            119.56          30
64                    108.82             70.18            123.46          30
128                   160.89             98.51            180.29          30
256                   165.45            101.38            185.47          30
512                   170.46            103.69            191.46          30
1024                  178.31            108.76            200.11          30
2048                  195.23            118.64            218.28          30
4096                  199.88            127.07            220.98          30
8192                  199.24            125.77            221.71          30
16384                 202.39            128.90            222.02          30
32768                 224.42            212.97            233.26          30
65536                 262.13            251.35            270.52          30
131072                326.12            314.00            333.39          30
262144                456.15            442.53            465.45          30
524288                510.49            495.73            523.94          30
1048576               616.47            601.86            632.12          30
2097152               494.85            472.40            515.59          30
4194304               746.03            686.64            825.72          30
8388608              1279.18           1179.34           1374.75          30
16777216             1937.02           1750.09           2146.67          30
33554432             3599.50           3486.31           3754.93          30
67108864             5377.05           5194.90           5477.33          30
134217728            5579.26           5379.80           6059.46          30
268435456           11984.87          11522.75          12262.46          30
