=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     392.33            344.50            473.78          30
16                    384.56            337.14            471.64          30
32                    382.19            334.10            468.05          30
64                    382.86            338.69            472.10          30
128                   387.94            344.66            467.24          30
256                   392.34            356.65            467.29          30
512                   398.39            360.37            469.00          30
1024                  399.96            360.60            475.52          30
2048                  757.41            725.17            808.32          30
4096                  741.78            723.71            760.55          30
8192                  745.67            726.81            763.04          30
16384                 749.37            734.02            765.66          30
32768                 754.41            740.88            771.40          30
65536                 763.05            746.35            780.72          30
131072                778.41            762.73            796.75          30
262144                848.10            832.31            862.69          30
524288               1038.56           1026.36           1054.33          30
1048576              1208.40           1193.86           1225.18          30
2097152              1562.48           1548.60           1578.64          30
4194304              2193.79           2180.24           2208.38          30
8388608              3570.82           3551.62           3595.99          30
16777216            10025.71           9970.30          10204.15          30
33554432            34783.26          34589.41          35008.53          30
67108864            73330.95          72910.97          73869.50          30
134217728          144553.18         143702.62         145565.58          30
268435456          281860.22         279821.99         284094.82          30
