=== A_mpich_host : N=16 ranks=128 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      41.24             36.67             46.74          50
8                      40.98             36.07             47.65          50
16                     41.22             36.24             47.79          50
32                     41.02             36.56             46.87          50
64                     41.54             37.00             47.49          50
128                    43.14             37.78             50.06          50
256                    53.27             49.14             58.25          50
512                    77.75             74.67             80.82          50
1024                   78.22             75.32             81.49          50
2048                   79.82             76.66             82.79          50
4096                   86.89             83.30             90.42          50
8192                   94.14             90.47             98.15          50
16384                 110.45            106.87            116.46          50
32768                 130.06            124.86            134.39          50
65536                 152.86            147.07            158.66          50
131072                194.79            188.73            202.14          50
262144                280.37            268.00            293.65          50
524288                462.82            427.83            482.65          50
1048576               885.60            833.16            960.43          50
2097152              1636.43           1520.23           1807.04          50
4194304              3066.88           2736.68           3432.57          50
8388608              6525.94           5945.97           7025.37          50
16777216            10436.32          10172.23          10811.98          50
33554432            33648.26          32815.76          34694.92          50
