=== D_blk64 sweep : N=16 ranks=128 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      22.99             19.91             25.86          20
8                      22.48             19.60             25.47          20
16                     22.38             19.02             25.04          20
32                     22.03             18.22             24.78          20
64                     22.38             19.94             25.56          20
128                    24.34             20.80             28.13          20
256                    44.12             40.65             47.96          20
512                    43.53             38.99             47.68          20
1024                   42.82             38.37             49.16          20
2048                   50.77             43.20             56.20          20
4096                   67.50             63.26             73.32          20
8192                  100.94             93.71            107.31          20
16384                 107.55            101.51            112.87          20
32768                 122.37            115.70            128.09          20
65536                 144.63            137.70            151.23          20
131072                259.39            254.54            265.02          20
262144                271.76            266.54            277.75          20
524288                301.74            296.63            309.55          20
1048576               342.53            335.05            351.70          20
2097152               419.25            408.29            429.68          20
4194304               553.70            543.58            564.73          20
8388608               835.91            814.13            849.55          20
16777216             1432.85           1416.94           1455.44          20
33554432             2612.99           2583.64           2641.18          20
67108864             4996.68           4959.18           5034.31          20
134217728           10113.40          10086.99          10144.30          20
268435456           20198.00          20164.30          20242.65          20
536870912           40510.47          40475.84          40546.37          20
1073741824          81126.27          81104.34          81159.08          20
2147483648         164782.52         164722.91         164847.75          20
4294967296         327525.45         327493.76         327559.41          20
