=== C_mpich_rccl : N=4 ranks=32 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      66.05             52.07             75.79          50
8                      57.04             43.58             66.38          50
16                     45.10             32.29             54.27          50
32                     45.23             32.29             54.47          50
64                     47.54             33.45             57.53          50
128                    53.57             37.29             64.99          50
256                    55.43             38.54             67.47          50
512                    57.84             40.45             70.60          50
1024                   60.77             42.22             74.04          50
2048                   67.00             46.88             81.67          50
4096                   73.14             56.54             85.24          50
8192                   71.14             54.08             83.64          50
16384                  71.64             55.44             82.80          50
32768                  82.85             78.41             86.94          50
65536                  94.86             91.31             98.76          50
131072                119.18            114.92            123.13          50
262144                164.85            160.53            168.73          50
524288                204.08            199.20            207.71          50
1048576               290.48            285.36            294.40          50
2097152               239.73            231.21            247.34          50
4194304               318.70            307.55            327.55          50
8388608               524.72            512.66            534.11          50
16777216              641.57            626.77            655.82          50
33554432             1207.59           1180.88           1220.07          50
67108864             1814.02           1791.81           1833.22          50
134217728            3306.09           3278.68           3333.91          50
268435456            5641.13           5588.07           5688.51          50
536870912           11225.19          11114.14          11332.71          50
1073741824          22385.65          22168.19          22613.70          50
