=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     169.88            162.54            182.21          30
16                    168.20            159.29            183.19          30
32                    167.89            159.73            182.01          30
64                    318.38            314.87            323.67          30
128                   310.98            305.53            317.78          30
256                   308.23            303.02            314.78          30
512                   318.25            314.45            323.28          30
1024                  309.19            304.63            314.75          30
2048                  315.82            310.34            319.78          30
4096                  317.49            303.94            331.32          30
8192                  324.80            311.67            337.70          30
16384                 330.69            316.36            345.82          30
32768                 338.22            324.99            351.93          30
65536                 338.36            325.39            351.33          30
131072                352.09            339.59            368.85          30
262144                381.60            366.11            396.85          30
524288                517.57            506.55            528.11          30
1048576               650.54            645.44            657.59          30
2097152               986.20            981.22            989.99          30
4194304              1442.39           1438.36           1447.37          30
8388608              2503.47           2500.01           2508.04          30
16777216             7452.19           7448.64           7456.48          30
33554432            28764.71          28695.37          28872.98          30
67108864            62108.65          61992.61          62301.50          30
134217728          121404.13         121194.19         121700.01          30
268435456          231926.06         231320.95         233206.99          30
