=== AUTO_hmem (stock tree + FI_HMEM GPU-direct RDMA) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     153.33            144.56            163.11          30
16                    150.84            140.92            162.20          30
32                    151.36            142.01            161.53          30
64                    282.08            277.61            288.36          30
128                   278.69            273.24            286.08          30
256                   273.82            268.94            279.02          30
512                   288.25            283.77            296.54          30
1024                  273.18            267.11            279.76          30
2048                  280.21            274.55            284.97          30
4096                  301.27            292.91            311.75          30
8192                  309.41            300.50            319.15          30
16384                 310.01            300.41            321.38          30
32768                 320.70            313.22            330.16          30
65536                 318.80            312.56            327.73          30
131072                345.45            325.97            365.55          30
262144                379.90            375.09            389.21          30
524288                448.87            441.03            457.16          30
1048576               581.72            575.15            591.82          30
2097152               846.79            841.43            852.58          30
4194304              1269.74           1261.58           1279.99          30
8388608              2206.77           2201.64           2210.72          30
16777216             6475.11           6470.96           6480.80          30
33554432            24142.58          24030.98          24226.52          30
67108864            48670.38          48380.27          48851.24          30
134217728           98879.61          98343.01          99217.32          30
268435456          188783.51         187838.10         189350.73          30
