=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      56.92             48.88             63.65          30
16                     56.13             48.07             62.33          30
32                     46.51             38.77             52.85          30
64                     40.10             32.14             46.77          30
128                    43.17             34.20             50.84          30
256                    44.28             35.11             52.50          30
512                    45.92             36.23             54.51          30
1024                   47.16             36.83             56.34          30
2048                   50.59             39.78             60.34          30
4096                   56.57             48.37             64.35          30
8192                   58.02             50.36             66.02          30
16384                  55.80             48.65             62.91          30
32768                  62.49             60.17             64.49          30
65536                  68.09             65.66             70.29          30
131072                 80.37             77.95             82.52          30
262144                104.60            102.13            106.54          30
524288                147.77            145.03            152.77          30
1048576               164.52            161.67            168.95          30
2097152               192.77            189.39            197.26          30
4194304               250.19            246.55            254.86          30
8388608               358.57            353.05            365.67          30
16777216              534.93            528.37            542.64          30
33554432              882.16            871.97            893.79          30
67108864             1520.24           1508.51           1534.27          30
134217728            2761.86           2747.20           2786.51          30
268435456            5169.39           5125.98           5219.60          30
