=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      57.80             49.84             64.29          30
16                     56.83             49.14             63.24          30
32                     47.14             39.61             53.37          30
64                     40.44             32.55             47.20          30
128                    43.77             34.90             51.54          30
256                    44.91             35.58             53.15          30
512                    46.95             37.22             55.71          30
1024                   48.14             37.96             57.41          30
2048                   50.98             40.44             60.59          30
4096                   56.93             49.23             64.48          30
8192                   57.84             50.47             65.63          30
16384                  55.00             48.21             61.51          30
32768                  62.22             59.81             64.30          30
65536                  68.01             65.46             70.37          30
131072                 80.46             77.85             82.60          30
262144                104.43            102.08            106.19          30
524288                147.75            144.85            152.43          30
1048576               164.58            161.78            168.59          30
2097152               192.34            188.85            197.08          30
4194304               249.94            245.94            254.66          30
8388608               357.75            352.87            365.15          30
16777216              533.50            527.99            539.25          30
33554432              878.85            870.56            887.89          30
67108864             1515.09           1499.66           1527.75          30
134217728            2750.00           2732.45           2769.67          30
268435456            5151.37           5123.28           5178.86          30
