=== AUTO_json (RCCL >=64 KiB via csel) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      58.45             51.35             65.23          30
16                     57.91             51.14             64.43          30
32                     48.24             41.55             54.81          30
64                     41.88             35.08             48.72          30
128                    44.84             36.94             52.80          30
256                    46.07             37.67             54.63          30
512                    47.56             38.72             56.40          30
1024                   49.06             39.63             58.67          30
2048                   52.20             42.54             62.26          30
4096                   57.64             49.65             65.94          30
8192                   59.12             51.06             67.57          30
16384                  57.77             49.88             65.03          30
32768                  64.61             61.23             67.29          30
65536                  70.30             66.70             72.92          30
131072                 82.49             79.16             85.42          30
262144                106.82            103.74            109.81          30
524288                148.46            143.38            153.50          30
1048576               165.80            160.53            170.60          30
2097152               195.99            189.86            199.37          30
4194304               259.71            250.14            268.73          30
8388608               360.87            356.10            367.30          30
16777216              537.99            532.28            543.56          30
33554432              885.16            876.85            895.10          30
67108864             1521.86           1507.51           1536.48          30
134217728            2762.12           2744.78           2781.73          30
268435456            5169.09           5132.72           5197.83          30
