=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     172.02            155.23            187.62          30
16                    168.30            151.84            184.40          30
32                    168.71            150.79            187.11          30
64                    333.50            328.33            340.35          30
128                   324.84            318.66            331.46          30
256                   323.56            318.06            328.61          30
512                   338.05            329.51            344.13          30
1024                  325.13            317.24            331.93          30
2048                  322.81            317.51            329.44          30
4096                  329.34            320.96            338.17          30
8192                  333.17            325.07            342.22          30
16384                 340.15            330.85            350.88          30
32768                 346.83            338.76            355.38          30
65536                 346.63            338.37            355.66          30
131072                360.04            351.68            369.52          30
262144                394.94            385.87            403.63          30
524288                474.50            467.47            481.52          30
1048576               644.28            638.31            652.89          30
2097152               996.87            991.58           1002.15          30
4194304              1459.54           1455.61           1464.09          30
8388608              2544.78           2539.17           2549.92          30
16777216             8035.92           8025.45           8047.64          30
33554432            29880.08          29771.39          30005.74          30
67108864            63377.69          63172.10          63650.27          30
134217728          121944.74         121621.32         122341.70          30
268435456          236629.50         235706.08         238195.38          30
