=== D_cray_gpuaware : N=1 ranks=8 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                       2.68              2.56              2.79          50
8                       2.71              2.67              2.75          50
16                      2.50              2.48              2.56          50
32                      2.49              2.46              2.52          50
64                      2.56              2.54              2.60          50
128                     2.81              2.77              2.85          50
256                    11.84             11.31             12.40          50
512                    10.93             10.48             11.38          50
1024                   12.36             11.43             14.27          50
2048                   13.14             11.72             14.15          50
4096                   20.63             20.23             21.12          50
8192                   41.65             41.11             42.38          50
16384                  46.07             45.37             47.20          50
32768                  55.98             55.42             56.86          50
65536                  76.97             75.99             78.05          50
131072                114.29            113.94            114.54          50
262144                121.36            120.65            121.87          50
524288                136.60            136.30            136.96          50
1048576               158.41            157.95            158.81          50
2097152               208.91            208.45            209.33          50
4194304               311.94            311.48            312.39          50
8388608               514.29            513.81            514.82          50
16777216             1030.79           1030.14           1031.42          50
33554432             2062.25           2061.72           2062.80          50
67108864             4129.72           4129.38           4130.07          50
134217728            8284.83           8284.35           8285.36          50
268435456           16628.62          16628.20          16629.04          50
536870912           33234.03          33233.67          33234.48          50
1073741824          66524.89          66524.39          66525.21          50
