=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      58.26             50.67             65.03          30
16                     57.99             50.90             65.17          30
32                     48.63             41.53             55.95          30
64                     41.89             34.26             49.74          30
128                    43.78             34.63             53.32          30
256                    45.19             35.59             55.35          30
512                    47.07             37.24             57.52          30
1024                   48.20             38.23             59.01          30
2048                   50.45             39.61             61.90          30
4096                   62.43             50.71             71.69          30
8192                   61.14             49.95             70.34          30
16384                  53.90             44.03             62.34          30
32768                  64.27             60.29             67.55          30
65536                  69.85             65.52             73.57          30
131072                 81.43             77.94             84.06          30
262144                106.13            103.59            108.16          30
524288                148.34            145.14            154.18          30
1048576               165.12            161.86            169.57          30
2097152               192.66            189.81            196.70          30
4194304               250.79            247.78            255.42          30
8388608               359.10            352.83            367.21          30
16777216              535.03            528.33            543.04          30
33554432              881.67            871.19            890.36          30
67108864             1520.05           1493.02           1542.10          30
134217728            2762.28           2731.83           2787.19          30
268435456            5172.27           5109.95           5218.68          30
