=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     170.27            165.22            179.80          30
16                    165.20            160.74            171.15          30
32                    165.62            161.59            173.02          30
64                    309.24            304.17            315.65          30
128                   298.44            290.54            305.73          30
256                   303.12            296.53            310.62          30
512                   316.28            309.50            323.73          30
1024                  295.83            290.53            301.95          30
2048                  304.87            295.97            311.72          30
4096                  312.01            301.56            319.96          30
8192                  319.39            305.38            331.75          30
16384                 323.73            307.00            336.07          30
32768                 330.64            322.42            343.50          30
65536                 335.60            321.76            347.85          30
131072                347.36            333.64            360.93          30
262144                375.69            365.13            387.07          30
524288                506.48            501.27            516.87          30
1048576               636.65            626.16            645.12          30
2097152              1004.78            992.73           1017.01          30
4194304              1468.99           1450.65           1486.40          30
8388608              2539.49           2530.54           2550.28          30
16777216             7561.55           7556.41           7567.07          30
33554432            27877.40          27729.79          27983.08          30
67108864            57945.86          57679.48          58168.57          30
134217728          114365.46         113977.12         114709.87          30
268435456          224534.32         223486.85         225557.72          30
