=== A_mpich_host : N=64 ranks=512 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      54.54             48.78             61.47          50
8                      53.71             47.91             60.29          50
16                     53.80             47.79             60.70          50
32                     53.81             48.19             60.24          50
64                     54.03             48.09             60.27          50
128                    56.13             49.71             63.55          50
256                    72.16             67.88             79.48          50
512                    73.61             69.45             80.43          50
1024                   74.86             70.12             80.75          50
2048                  105.51            101.18            110.58          50
4096                  110.84            105.59            117.00          50
8192                  118.35            112.72            123.89          50
16384                 132.90            126.94            140.24          50
32768                 153.99            148.19            162.79          50
65536                 187.31            180.76            194.86          50
131072                232.50            223.43            242.51          50
262144                321.59            298.84            339.94          50
524288                497.84            451.67            526.34          50
1048576               921.60            822.37           1009.96          50
2097152              1784.71           1597.47           1918.89          50
4194304              3584.04           3219.85           3962.77          50
8388608              6633.66           6028.01           7207.36          50
16777216            11096.84          10720.39          11856.34          50
33554432            34865.07          33801.17          36044.61          50
