=== AUTO_json (RCCL >=64 KiB via csel) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      60.57             53.18             67.79          30
16                     58.56             51.35             65.66          30
32                     49.07             42.10             55.96          30
64                     43.08             35.88             50.43          30
128                    46.48             38.33             54.88          30
256                    47.57             39.11             56.43          30
512                    49.35             40.47             58.81          30
1024                   51.07             41.85             61.07          30
2048                   54.34             44.50             64.82          30
4096                   56.92             50.50             64.43          30
8192                   58.29             50.54             66.02          30
16384                  57.77             50.36             65.08          30
32768                  64.17             60.88             68.26          30
65536                  69.73             66.56             73.34          30
131072                 82.49             78.71             86.46          30
262144                107.27            104.10            111.40          30
524288                149.71            145.43            156.52          30
1048576               166.97            162.95            172.37          30
2097152               197.28            191.59            200.32          30
4194304               261.08            251.53            268.08          30
8388608               360.53            356.10            367.25          30
16777216              538.15            532.09            543.56          30
33554432              885.68            877.95            894.23          30
67108864             1519.85           1511.60           1527.81          30
134217728            2760.06           2747.40           2770.69          30
268435456            5172.80           5148.20           5201.32          30
