=== AUTO_hmem (stock tree + FI_HMEM GPU-direct RDMA) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     160.63            149.08            170.47          30
16                    155.33            144.43            164.39          30
32                    155.27            144.06            163.55          30
64                    289.33            284.49            293.29          30
128                   280.13            273.36            285.84          30
256                   273.40            265.09            280.86          30
512                   290.24            283.59            294.20          30
1024                  277.60            271.26            283.26          30
2048                  279.65            273.14            284.84          30
4096                  297.31            288.06            305.93          30
8192                  305.07            296.75            312.39          30
16384                 314.11            306.16            320.54          30
32768                 321.00            310.83            327.81          30
65536                 326.28            318.99            330.73          30
131072                346.73            327.52            363.64          30
262144                379.42            360.55            397.57          30
524288                455.53            449.11            462.64          30
1048576               598.46            591.92            605.94          30
2097152               888.82            880.82            896.79          30
4194304              1329.82           1323.00           1335.15          30
8388608              2242.21           2236.16           2247.74          30
16777216             6564.26           6559.89           6568.22          30
33554432            24568.65          24465.56          24686.79          30
67108864            55603.74          55430.14          55801.92          30
134217728          109805.67         109509.76         110184.47          30
268435456          203222.94         202496.51         204141.10          30
