=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     186.06            158.41            222.56          30
16                    180.47            154.75            215.63          30
32                    181.64            154.80            219.52          30
64                    373.55            364.13            385.56          30
128                   368.19            359.04            380.00          30
256                   366.10            357.39            377.59          30
512                   373.17            364.49            383.94          30
1024                  367.96            359.12            379.43          30
2048                  321.57            317.13            326.58          30
4096                  328.24            320.57            340.88          30
8192                  330.87            323.73            341.89          30
16384                 337.45            328.42            349.22          30
32768                 345.83            336.05            357.65          30
65536                 347.86            338.70            359.00          30
131072                359.21            351.24            369.98          30
262144                392.46            386.08            405.31          30
524288                510.60            501.82            523.18          30
1048576               633.52            624.53            645.33          30
2097152               961.76            951.19            969.93          30
4194304              1470.11           1460.86           1475.52          30
8388608              2488.46           2480.92           2495.54          30
16777216             7858.40           7843.36           7872.53          30
33554432            29219.20          29128.94          29308.36          30
67108864            63995.13          63786.65          64210.77          30
134217728          125187.49         124821.39         125659.84          30
268435456          240688.61         239830.47         241924.36          30
