=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      59.89             52.04             67.35          30
16                     56.05             48.13             63.33          30
32                     46.58             39.09             53.77          30
64                     40.06             31.95             47.99          30
128                    42.45             33.27             51.47          30
256                    43.58             33.98             53.07          30
512                    45.09             34.86             55.16          30
1024                   46.47             36.12             56.61          30
2048                   49.95             38.78             60.84          30
4096                   57.54             48.56             66.04          30
8192                   57.60             47.93             66.05          30
16384                  54.11             46.13             62.10          30
32768                  62.54             60.47             64.38          30
65536                  68.36             66.24             70.16          30
131072                 80.51             78.51             82.42          30
262144                105.08            102.48            107.46          30
524288                148.16            144.82            152.85          30
1048576               164.79            162.29            168.90          30
2097152               192.54            189.81            196.44          30
4194304               250.85            247.11            256.16          30
8388608               358.29            351.43            366.24          30
16777216              533.89            526.91            541.57          30
33554432              879.04            870.36            889.89          30
67108864             1515.72           1501.23           1530.19          30
134217728            2751.45           2736.25           2770.95          30
268435456            5159.66           5111.91           5203.68          30
