=== D_cray_gpuaware : N=128 ranks=1024 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      38.05             35.87             40.50          50
8                      37.84             36.24             39.73          50
16                     37.67             35.91             40.32          50
32                     37.81             36.34             40.16          50
64                     38.08             36.22             40.00          50
128                    40.18             38.10             43.01          50
256                    65.89             62.58             69.15          50
512                    65.10             61.55             68.26          50
1024                   67.38             64.25             71.81          50
2048                   70.66             66.92             74.90          50
4096                   96.83             92.67            102.74          50
8192                  130.93            124.82            137.81          50
16384                 141.31            136.19            148.53          50
32768                 154.23            148.27            161.18          50
65536                 195.29            188.01            204.36          50
131072                346.97            340.34            355.50          50
262144                362.42            357.59            371.14          50
524288                396.56            390.20            407.34          50
1048576               436.67            427.36            448.82          50
2097152               516.76            508.51            528.77          50
4194304               747.77            726.32            823.14          50
8388608              1180.00           1168.17           1198.61          50
16777216             3177.89           3154.78           3219.48          50
33554432             8970.28           8925.08           9024.52          50
67108864            16491.54          16443.13          16540.28          50
134217728           18005.18          17988.07          18029.79          50
268435456           55336.73          55285.56          55518.64          50
536870912           68656.86          68643.87          68677.52          50
1073741824         139715.06         139701.20         139734.62          50
