=== C_mpich_rccl : N=128 ranks=1024 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                     130.35             92.58            144.27          50
8                     121.84             84.27            136.14          50
16                    109.14             72.34            122.88          50
32                    110.50             73.50            124.38          50
64                    119.44             77.67            134.01          50
128                   180.28            112.12            203.07          50
256                   183.96            113.97            207.50          50
512                   192.53            119.97            216.61          50
1024                  199.73            123.44            224.92          50
2048                  220.35            136.59            246.15          50
4096                  224.99            141.97            248.38          50
8192                  223.15            141.50            247.98          50
16384                 227.10            144.27            250.15          50
32768                 242.60            227.39            257.24          50
65536                 286.66            271.80            301.17          50
131072                364.31            349.84            377.06          50
262144                524.82            507.07            539.70          50
524288                580.63            562.56            596.89          50
1048576               698.04            679.26            716.34          50
2097152               794.02            754.42            883.32          50
4194304              1297.89           1239.89           1374.59          50
8388608              2414.27           2298.73           2512.37          50
16777216             3375.30           3235.51           3492.75          50
33554432             4629.51           4394.99           4752.45          50
67108864             6828.65           6561.93           7042.65          50
134217728            7475.74           7059.02           7772.79          50
268435456           13650.28          12921.39          13940.51          50
536870912           21829.14          20884.37          22171.38          50
1073741824          37562.48          35688.28          38916.53          50
