=== A_mpich_host : N=16 ranks=128 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      42.66             36.99             48.56          50
8                      42.35             36.51             48.05          50
16                     42.57             36.65             48.24          50
32                     42.13             36.11             48.48          50
64                     42.64             36.74             47.94          50
128                    44.66             39.40             50.79          50
256                    54.89             50.61             59.96          50
512                    79.54             75.33             83.05          50
1024                   78.61             73.52             83.25          50
2048                   80.19             75.37             84.62          50
4096                   86.99             80.79             92.43          50
8192                   93.34             87.81             99.53          50
16384                 108.99            103.44            115.83          50
32768                 127.99            120.54            136.50          50
65536                 152.64            143.58            162.03          50
131072                194.45            186.05            205.80          50
262144                282.06            264.18            290.61          50
524288                458.67            417.93            481.13          50
1048576               892.70            806.74            980.84          50
2097152              1622.48           1462.49           1767.91          50
4194304              3235.00           2985.73           3558.50          50
8388608              6568.81           5928.97           6990.66          50
16777216            10651.46          10291.68          10964.51          50
33554432            33698.28          32995.02          34584.43          50
