=== D_cray_gpuaware : N=64 ranks=512 ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      34.60             31.77             38.05          50
8                      34.38             31.55             38.55          50
16                     34.22             31.80             36.57          50
32                     34.55             32.01             37.33          50
64                     34.77             31.62             38.85          50
128                    36.17             33.45             38.38          50
256                    59.16             57.43             61.16          50
512                    58.30             56.89             60.57          50
1024                   60.64             58.46             64.17          50
2048                   63.84             61.25             66.14          50
4096                   89.10             85.07             91.94          50
8192                  121.65            118.01            124.86          50
16384                 130.84            127.22            133.87          50
32768                 146.56            142.70            151.16          50
65536                 185.90            179.47            191.65          50
131072                320.54            317.06            323.52          50
262144                332.79            329.41            336.96          50
524288                369.20            362.81            374.40          50
1048576               409.75            403.90            415.32          50
2097152               489.00            483.29            493.34          50
4194304               635.83            629.30            641.54          50
8388608               927.61            918.53            945.89          50
16777216             1897.83           1888.98           1914.01          50
33554432             4359.14           4348.42           4389.10          50
67108864            12324.15          12282.37          12362.19          50
134217728           18558.69          18550.00          18595.00          50
268435456           31054.53          31046.15          31066.91          50
536870912           62361.78          62353.10          62374.51          50
1073741824         125926.76         125918.84         125940.08          50
