=== A_mpich_host : N=1 ranks=8 ===

# OSU MPI Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
4                      17.28             13.98             20.58          50
8                      17.09             13.79             20.36          50
16                     16.86             13.61             20.10          50
32                     27.48             24.93             30.16          50
64                     28.59             25.84             31.39          50
128                    27.78             25.04             30.60          50
256                    27.96             25.39             30.65          50
512                    29.15             26.45             31.94          50
1024                   28.45             25.81             31.11          50
2048                   27.79             25.24             30.38          50
4096                   30.58             27.82             33.28          50
8192                   33.28             30.46             36.06          50
16384                  40.37             37.82             43.14          50
32768                  50.62             48.13             53.26          50
65536                  67.60             65.14             70.11          50
131072                 95.25             92.92             97.99          50
262144                155.18            151.73            159.53          50
524288                268.58            263.25            275.35          50
1048576               531.62            510.51            558.35          50
2097152              1027.74            990.21           1062.27          50
4194304              2057.72           1995.43           2168.74          50
8388608              3958.04           3674.41           4344.18          50
16777216             7953.65           7623.86           8247.44          50
33554432            30041.30          29751.53          30428.30          50
