=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  467.32            423.12            547.40          30
2048                  475.95            427.18            557.79          30
4096                  901.57            878.34            951.89          30
8192                  885.10            858.80            924.34          30
16384                 888.36            866.99            931.42          30
32768                 893.70            871.76            929.37          30
65536                 851.31            832.69            881.20          30
131072                866.94            849.24            882.32          30
262144                936.13            919.29            951.95          30
524288               1236.52           1222.77           1251.08          30
1048576              1346.52           1327.79           1446.07          30
2097152              1709.32           1691.58           1727.16          30
4194304              2266.52           2247.78           2300.66          30
8388608              3620.49           3585.39           3678.15          30
16777216             9950.62           9822.41          10156.96          30
33554432            35131.66          34824.32          35372.42          30
67108864            74320.08          73865.58          74900.31          30
134217728          146256.18         145585.69         147013.99          30
268435456          282739.94         280614.48         285300.86          30
