=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  228.80            145.47            253.92          30
2048                  243.35            150.19            270.04          30
4096                  235.89            145.24            259.85          30
8192                  234.32            144.43            260.62          30
16384                 233.93            144.59            256.83          30
32768                 249.32            237.01            264.50          30
65536                 291.19            279.21            304.40          30
131072                369.55            357.30            381.61          30
262144                522.29            508.98            537.97          30
524288                575.65            562.81            590.23          30
1048576               679.08            661.60            692.56          30
2097152               657.00            625.41            736.94          30
4194304               838.73            799.42            905.73          30
8388608              1838.09           1744.46           2073.79          30
16777216             2727.03           2598.83           2870.53          30
33554432             4453.29           4289.30           4640.57          30
67108864             6963.69           6648.10           7157.24          30
134217728            7132.47           6785.56           7500.16          30
268435456           12606.19          12154.38          13349.87          30
