=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  268.13            166.11            298.69          30
2048                  289.59            177.70            320.10          30
4096                  281.89            172.44            310.83          30
8192                  285.61            176.96            314.15          30
16384                 280.07            172.28            307.45          30
32768                 299.77            284.59            318.59          30
65536                 360.01            344.28            376.43          30
131072                467.47            451.27            482.87          30
262144                650.71            631.82            669.63          30
524288                708.34            690.28            727.69          30
1048576               872.80            846.43            893.50          30
2097152              1136.35           1091.67           1167.03          30
4194304              1780.76           1658.44           1902.85          30
8388608              3013.05           2900.45           3075.35          30
16777216             4757.86           4571.21           4848.19          30
33554432             6552.48           6316.10           6668.34          30
67108864             8221.92           7888.46           8488.40          30
134217728           11372.48          10630.40          11660.62          30
268435456           16550.60          15682.60          16885.92          30
