=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
1024                  555.14            499.74            638.87          30
2048                  566.58            516.54            650.61          30
4096                  585.39            537.08            671.30          30
8192                  602.48            552.91            682.54          30
16384                1068.59           1041.60           1111.57          30
32768                1068.30           1040.37           1115.91          30
65536                1065.54           1024.97           1115.10          30
131072               1058.02           1032.91           1085.09          30
262144               1110.88           1090.71           1130.75          30
524288               1343.32           1323.37           1366.65          30
1048576              1573.86           1556.29           1592.45          30
2097152              1987.75           1968.33           2007.65          30
4194304              2703.37           2682.00           2739.94          30
8388608              4243.91           4206.34           4295.04          30
16777216            11252.11          11130.89          11399.72          30
33554432            36051.04          35794.16          36316.86          30
67108864            76702.98          76229.66          77338.05          30
134217728          149924.42         149257.94         150887.43          30
268435456          289318.28         286640.72         296707.42          30
