=== AUTO_default (stock tree) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                     173.67            160.74            188.43          30
16                    169.64            156.48            183.47          30
32                    167.30            154.92            181.21          30
64                    330.87            322.23            341.60          30
128                   323.65            316.23            332.22          30
256                   323.41            317.38            330.20          30
512                   328.42            320.52            336.62          30
1024                  321.25            312.42            330.24          30
2048                  320.17            314.94            326.06          30
4096                  326.89            317.48            340.39          30
8192                  331.09            323.79            339.30          30
16384                 334.42            324.44            345.96          30
32768                 341.78            329.85            357.44          30
65536                 350.84            341.79            364.62          30
131072                360.41            351.49            371.72          30
262144                413.87            404.35            426.59          30
524288                559.11            552.40            566.40          30
1048576               744.73            736.99            750.58          30
2097152              1076.17           1067.68           1085.07          30
4194304              1459.56           1454.21           1464.53          30
8388608              2514.12           2509.67           2517.26          30
16777216             8125.88           8113.40           8138.78          30
33554432            31672.73          31526.59          31825.12          30
67108864            66478.03          66235.84          66751.88          30
134217728          130215.89         129903.91         130693.98          30
268435456          243843.89         243004.89         245068.99          30
