=== C_forced (rccl everywhere) ===

# OSU MPI-ROCM Allreduce Latency Test v7.5
# Datatype: MPI_INT.
# Size       Avg Latency(us)   Min Latency(us)   Max Latency(us)  Iterations
8                      57.61             49.69             64.30          30
16                     56.75             49.35             63.10          30
32                     47.61             39.71             54.18          30
64                     40.99             33.08             47.77          30
128                    43.78             34.79             51.43          30
256                    45.15             35.78             53.43          30
512                    47.18             37.71             55.75          30
1024                   49.29             39.00             58.53          30
2048                   51.99             41.24             61.86          30
4096                   57.56             50.13             65.19          30
8192                   58.71             51.05             66.61          30
16384                  56.43             49.47             63.67          30
32768                  62.84             60.49             65.12          30
65536                  68.32             66.08             70.53          30
131072                 81.03             78.61             83.28          30
262144                105.23            102.24            107.70          30
524288                148.45            145.43            151.71          30
1048576               165.93            162.36            168.46          30
2097152               196.20            189.60            200.46          30
4194304               259.61            250.38            269.95          30
8388608               359.76            355.35            366.66          30
16777216              535.94            530.08            541.67          30
33554432              881.35            874.68            890.53          30
67108864             1516.39           1503.77           1532.52          30
134217728            2751.52           2733.61           2776.49          30
268435456            5156.53           5108.78           5203.10          30
